"TITRE";"ID";"CODE";"NOM_SOURCE";"AUTEUR";"CRITIQUE";"NOTE"
"ASAKO I&II";"562";"40066165";"Transfuge";"Frédéric Mercier";"Hamaguchi s'intéresse aux infimes oscillations de l'âme d'Asako qui comprend que tout amour est un succédané plus ou moins fidèle de sa première passion, de son premier émoi, lequel influe sur notre existence toute entière.";"5"
"ASAKO I&II";"563";"40065988";"Voici";"Lola Sciamma";"Un conte japonais fantastique aux accents rohmériens, incroyablement romantique et poétique sur l'obsession immature du premier amour.";"5"
"ASAKO I&II";"564";"40066079";"L'Express";"Eric Libiot";"[...] cette peinture des sentiments, comme une aquarelle peinte au couteau, est séduisante.";"4"
"ASAKO I&II";"565";"40066043";"Le Parisien";"La Rédaction";"Une partition toute en finesse et d’une rare justesse.";"4"
"ASAKO I&II";"566";"40066051";"Paris Match";"Yannick Vely ";"[...] Asako est une jeune femme déterminée et c'est cette émancipation sociale que met en scène Ryusuke Hamaguchi, avec un rare sens du cadre et une maîtrise des ellipses qui étaient déjà à l'oeuvre dans ""Senses"".";"4"
"ASAKO I&II";"567";"40066084";"Culturebox - France Télévisions";"Jacky Bornet";"Produit par la chaîne de télévision HBO, ""Asako"" ne brille pas non plus par sa mise en images, aux plans moyens dominants, comme pour s'ajuster au format télévisuel. Ajouté à son manque d’ambiguïté, alors que le sujet s’y prêtait, ""Asako"" reste à la surface des choses.";"2"
"ASSASSIN'S CREED";"568";"40041878";"La Voix du Nord";"Philippe Lagouche";"(...) le néophyte habitué à se farcir des blockbusters ineptes ne s’inquiétera pas outre mesure de basculer dans un film d’action un peu bas de plafond capable de susciter l’admiration de Luc Besson. Tout comme le nabab français, Justin Kurzel présente, en effet, une propension maniaque à filmer à toute allure des yamakazis sous amphétamine (...).";"2"
"ASSASSIN'S CREED";"569";"40041841";"Le Monde";"Thomas Sotinel";"Cet empilement d’âneries est traité avec une telle gravité que – si divertissantes et inventives que soient les séquences de poursuites et de combats (et encore, elles ne le sont pas toutes) – l’effet d’abrutissement finit par prédominer.";"1"
"ASSASSIN'S CREED";"570";"40041987";"Critikat.com";"Benoît Smith";"Les limites du film ""Assassin’s Creed"", celle d’un blockbuster hollywoodien pas si inspiré qu’il fait mine d’être, s’avèrent très proches de celle de la franchise de jeux homonyme qu’Ubisoft a érigée en gamme blockbuster standardisée et sans trop de surprises – un gage de fidélité, dira-t-on.";"2"
"ASSASSIN'S CREED";"571";"40042069";"Public";"Florence Roman";"Ne cherchez pas à comprendre et laissez-vous juste porter par la puissance des images.";"4"
"ASSASSIN'S CREED";"572";"40041973";"Paris Match";"Yannick Vely";"Acteur principal et producteur du film, Michael Fassbender incarne avec conviction et premier degré le héros du film. (...) Hélas, le bât blesse du côté du scénario et surtout de la narration.";"2"
"ASSASSIN'S CREED";"573";"40041920";"Direct Matin";"La Rédaction";"Avec un budget de plus de 150 millions d’euros, Assassin’s Creed a pu voir les choses en grand. A ce titre, on retrouve au casting Michael Fassbender et Marion Cotillard, déjà vus ensemble dans Macbeth, du même réalisateur Justin Kurzel. Les combats au corps à corps et le parkour sont, de leur côté, assez bluffants.";"4"
"ASSASSIN'S CREED";"574";"40041912";"Le Point";"Philippe Guedj";"(...) toutes les têtes de gondole de la franchise sont jetées à l'écran. Mais le grand public va-t-il vraiment se sentir concerné par une trame aussi alambiquée, des personnages aussi creux (le sort de Lynch laisse totalement indifférent) et un final aussi bâclé ? Assassin's Quid ?";"1"
"ASSASSIN'S CREED";"575";"40041906";"Télérama";"Guillemette Odicino";"Le scénario est un peu « ado», à l'image même du jeu, et les scènes de combats et de courses-poursuites peuvent sembler répétitives. Mais la mise en scène, folle, captive tout de même, dans d'impressionnants décors virtuels.";"3"
"ASSASSIN'S CREED";"576";"40041850";"Les Fiches du Cinéma";"Michael Ghennam";"La fameuse franchise de jeux vidéo s’offre un passage au grand écran confus et frustrant, malgré les efforts de Justin Kurzel et Michael Fassbender.";"2"
"ASSASSIN'S CREED";"577";"40041949";"Le Dauphiné Libéré";"Jean Serroy";"L’adaptation d’un jeu vidéo, dont le mécanisme fonctionne sur la répétition systématique de nouveaux obstacles à franchir : ce qui, malgré les moyens déployés, devient vite lassant…";"3"
"ASSASSIN'S CREED";"578";"40041969";"20 Minutes";"Caroline Vié";"(...) un film riche en action qui fait évoluer le public entre le bien et le mal en compagnie d’un combattant charismatique.";"4"
"ASSASSIN'S CREED";"579";"40041877";"Le Nouvel Observateur";"Boris Manenti";"Finalement, les cinéphiles pourront se contenter de ce film d'action intense mais parfois confus. Tandis que les amateurs de la saga de jeux vidéo se régaleront d'une très fidèle adaptation (...).";"3"
"ASSASSIN'S CREED";"580";"40043164";"Positif";"Adrien Gombeaud";"À la première vision, l'intrigue s'avère ardue à saisir dans ses détails. Néanmoins, on comprend bien qu'elle n'a aucun intérêt et qu'il sera donc inutile de revoir ce film.";"1"
"ASSASSIN'S CREED";"581";"40041829";"Closer";"La Rédaction";"Une adaptation réussie du jeu vidéo.";"4"
"ASSASSIN'S CREED";"582";"40041919";"Télé 2 semaines";"Emilie Leoni";"Si certains éléments propres au jeu vidéo comme la lutte entre Assassins et Templiers, la pomme d’Eden, le saut de la Foi, peuvent perdre les non initiés par moments, le divertissement est total. Assassin’s Creed est une expérience cinématographique exaltante. Pour ces messieurs…, comme pour ces dames.";"4"
"ASSASSIN'S CREED";"583";"40041891";"Le Parisien";"La Rédaction";"Malgré une surutilisation de l'image de synthèse — ça devient malheureusement une habitude à Hollywood —, cette superproduction est originale, intelligente, différente. On attend la suite avec impatience.";"4"
